date,symbol,open,high,low,close,volume,sector
2024-05-24,AAPL,188.87,190.56,188.06,190.0,469969,Technology
2024-05-24,AMZN,181.715,182.39,180.31,180.75,431528,Technology
2024-05-24,AVGO,1399.005,1413.02,1394.86,1407.05,73904,Technology
2024-05-24,GOOGL,175.115,175.755,173.69,174.97,230768,Technology
2024-05-24,META,467.25,479.795,466.52,478.11,193063,Technology
2024-05-24,MSFT,427.27,430.98,424.645,430.07,184949,Technology
2024-05-24,NVDA,1044.55,1064.71,1030.16,1064.71,434162,Technology
2024-05-28,AAPL,191.53,192.98,189.13,190.1,838111,Technology
2024-05-28,AMZN,179.68,182.23,179.58,182.175,548594,Technology
2024-05-28,AVGO,1411.52,1415.84,1392.995,1412.31,108994,Technology
2024-05-28,GOOGL,174.54,177.245,174.45,176.4,542997,Technology
2024-05-28,META,476.69,480.48,474.86,479.97,390766,Technology
2024-05-28,MSFT,429.62,430.7,426.69,430.2,284143,Technology
2024-05-28,NVDA,1102.44,1148.75,1098.83,1140.525,717748,Technology
2024-05-29,AAPL,189.65,192.24,189.61,190.37,743546,Technology
2024-05-29,AMZN,181.82,184.04,181.585,181.985,425832,Technology
2024-05-29,AVGO,1392.985,1398.32,1383.62,1389.93,118146,Technology
2024-05-29,GOOGL,175.24,176.835,174.74,175.95,580717,Technology
2024-05-29,META,474.555,479.82,473.79,474.38,176397,Technology
2024-05-29,MSFT,426.26,430.865,425.82,429.23,234958,Technology
2024-05-29,NVDA,1130.5,1154.625,1109.375,1146.37,530678,Technology
2024-05-30,AAPL,190.75,192.175,190.65,191.28,707884,Technology
2024-05-30,AMZN,181.27,181.325,178.37,179.245,368611,Technology
2024-05-30,AVGO,1380.325,1382.12,1356.18,1364.205,81558,Technology
2024-05-30,GOOGL,175.065,175.065,171.82,172.12,363452,Technology
2024-05-30,META,471.11,471.28,464.89,467.01,257501,Technology
2024-05-30,MSFT,423.93,424.065,414.31,414.74,531923,Technology
2024-05-30,NVDA,1145.92,1158.0,1096.85,1105.57,469750,Technology
2024-05-31,AAPL,191.345,192.56,189.915,192.31,1346295,Technology
2024-05-31,AMZN,178.255,179.165,173.885,176.52,1046175,Technology
2024-05-31,AVGO,1361.37,1361.64,1308.03,1330.9,125659,Technology
2024-05-31,GOOGL,171.755,172.98,169.455,172.5,441821,Technology
2024-05-31,META,466.025,468.82,454.52,466.99,274213,Technology
2024-05-31,MSFT,416.585,416.585,404.735,415.28,720404,Technology
2024-05-31,NVDA,1124.62,1127.05,1069.57,1095.14,522293,Technology
2024-06-03,AAPL,192.985,194.99,192.6,193.99,390603,Technology
2024-06-03,AMZN,177.51,178.67,175.95,178.33,364027,Technology
2024-06-03,AVGO,1351.5,1351.5,1302.74,1320.55,96147,Technology
2024-06-03,GOOGL,172.57,174.5,171.19,173.2,206433,Technology
2024-06-03,META,470.77,479.42,468.45,477.46,198819,Technology
2024-06-03,MSFT,415.63,416.38,408.98,413.41,217236,Technology
2024-06-03,NVDA,1137.24,1150.0,1120.26,1149.995,277141,Technology
2024-06-04,AAPL,194.845,195.295,193.14,194.31,517834,Technology
2024-06-04,AMZN,177.66,179.815,176.51,179.24,618027,Technology
2024-06-04,AVGO,1318.55,1331.33,1307.5,1331.17,98048,Technology
2024-06-04,GOOGL,173.3,173.835,171.89,173.715,212962,Technology
2024-06-04,META,477.16,478.88,473.3,476.97,148615,Technology
2024-06-04,MSFT,412.43,416.435,409.73,416.03,180618,Technology
2024-06-04,NVDA,1157.03,1165.61,1140.935,1164.35,328757,Technology
2024-06-05,AAPL,195.39,196.885,194.905,195.87,856960,Technology
2024-06-05,AMZN,179.99,181.48,178.83,181.25,471930,Technology
2024-06-05,AVGO,1344.59,1414.035,1344.495,1413.35,119280,Technology
2024-06-05,GOOGL,175.23,176.64,174.02,175.27,268333,Technology
2024-06-05,META,484.49,496.62,483.97,495.02,380288,Technology
2024-06-05,MSFT,417.93,423.94,416.33,423.91,272697,Technology
2024-06-05,NVDA,1183.21,1224.49,1175.54,1224.49,478770,Technology
2024-06-06,AAPL,195.72,196.49,194.175,194.435,568869,Technology
2024-06-06,AMZN,181.745,184.98,181.555,184.93,488670,Technology
2024-06-06,AVGO,1419.18,1420.0,1390.64,1400.87,44231,Technology
2024-06-06,GOOGL,175.97,177.135,175.825,176.79,302893,Technology
2024-06-06,META,493.645,502.59,490.97,493.72,201572,Technology
2024-06-06,MSFT,423.75,425.26,420.65,424.64,192399,Technology
2024-06-06,NVDA,1240.23,1255.445,1183.6,1210.89,652773,Technology
2024-06-07,AAPL,194.77,196.93,194.16,196.88,901606,Technology
2024-06-07,AMZN,184.785,186.28,183.425,184.16,298904,Technology
2024-06-07,AVGO,1407.775,1424.33,1398.38,1406.39,58117,Technology
2024-06-07,GOOGL,176.935,177.81,174.3,174.4,318036,Technology
2024-06-07,META,495.125,498.83,490.27,492.875,121294,Technology
2024-06-07,MSFT,425.28,426.21,423.18,423.74,171267,Technology
2024-06-07,NVDA,1197.7,1216.21,1180.845,1208.42,264492,Technology
